product_name,product_link,product_desc,product_price
MiniX NEO X5 Android Jelly Bean Smart TV Box - Revolutionary Smart Media Hub,/Product-Detail/MiniX_NEO_X5,"Revolutionary smart media hub based on a Dual-Core ARM Cortex-A9 processor with 
Quad- Core Mali-400 GPU and the latest Android Jelly Bean 4.1.1 OS. NEO X5 redefines the concept of personal 
computing, providing an interactive media experience like never before. NEO X5 is a stylish portable media hub with infinite possibilities and uses. It is an immensely 
powerful device capable of playing the latest Android computer games, streaming HD movies and TV shows, 
browsing the web, video chat, listening to internet radio and much more. Comes with Ethernet, Bluetooth and Wi-Fi connectivity; allowing you to share media content, 
such as videos, music, photos, across devices on the same network.","4,199"
Viewpaker ViewPlus E221SM12-D AIO Barebone 21.5inch FHD LED Backlit Display,/Product-Detail/viewpaker_e221sm12-d,"Panel 21.5"" LED Backlight, / 180 cd/m2 (typ.) / 1000:1(typ.) / 1920*1080 / 16:9","9,495"
"Asus VivoStick PC (TS10-B146D) Atom x5-Z8350 CPU, 2GB RAM, 32GB eMMC, Win10",/Product-Detail/Asus_VivoStick_PC_TS10,Intel Atom Quad Core X5-Z8350 Processor | 2GB LPDDR3 Memory | 32GB EMMC Storage | Intel HD Graphics | 1 x HDMI | 802.11AC WiFi + BT | Windows 10 Home,"9,990"
INTEL NUC12 PRO Intel Core i3-1220P BAREBONE KIT (NUC12WSHI30001),/Product-Detail/intel_nuc12-pro-intel-core-i3-1220p-barebone-kit-nuc12wshi30001,"Intel NUC Kit with 12th Generation Intel Core Processors | Intel Core i3-1220P Processor (12M Cache, up to 4.40 GHz) | Supported Operating Systems Windows 11 Home, Windows 11 Pro, Windows 10 Home, Windows 10 IoT Enterprise, Windows 10 Pro, Red Hat Linux, Ubuntu 20.04 LTS | Total Cores: 10 | Total Threads: 12 | Max Turbo Frequency: 4.40 GHz | Launch Date: Q3'22 | TDP 20 W | DC Input Voltage Supported 12-20 VDC","18,499"
Acer XC-830 | Pentium Silver J5040 | 4GB DDR4 | 1TB HDD | Intel UHD Graphics 605 | Win10,/Product-Detail/acer_xc-830--pentium-silver-j5040--4gb-ddr4--1tb-hdd--intel-uhd-graphics-605-,"Intel Pentium Silver Processor J5040 (2.0GHz Base Frequency; 3.2GHz Burst Frequency, Quad Core) | 4GB DDR4 2400 MHz soDIMM | 1TB  3.5-inch 7200 RPM HDD | Intel UHD Graphics 605 | Windows 10 Home /Tower Only","19,999"
Lenovo IdeaCentre 3i 07IMB05 90NB009DPH | Pentium Gold | Intel Graphics 610 | 4GB DDR4 | 128GB SSD + 1TB HDD | Win 10,/Product-Detail/lenovo_ideacentre-3i-07imb05-90nb009dph,"90NB009DPH | Intel Pentium Gold G6400 (2C / 4T, 4.0GHz, 4MB) | Integrated Intel UHD Graphics 610 | Intel B460 | 4GB UDIMM DDR4-2933 | 128GB SSD m.2 2242 PCIe NVMe + 1TB HDD 7200rpm 3.5"" | Windows 10","25,995"
Intel NUC Kit with 11th Generation Intel Core Processors NUC11PAHi5,/Product-Detail/intel_nuc-kit-with-11th-generation-intel-core-processors-nuc11pahi5,"Intel NUC 11 Performance kit - NUC11PAHi5 | Supported Operating Systems
Windows 11, 64-bit*, Windows 10, 64-bit* | Board Form Factor: UCFF (4"" x 4"") | Socket:  Soldered-down BGA | Internal Drive Form Factor:  M.2 and 2.5"" Drive | # of Internal Drives Supported 2 | Lithography:  10 nm SuperFin | TDP 40 W | DC Input Voltage Supported:  19 VDC","26,499"
Lenovo IdeaCentre 3i 07IAB7 90SM0019PH with Lenovo L22i-30 Monitor Pentium Gold G7400/4GB RAM/256GB SSD/ UHD Graphics 710/Win11,/Product-Detail/lenovo_ideacentre-3i-07iab7-90sm0019ph--d19-61e0kar6ww-185in-pentium-gold-g7400,"Lenovo IdeaCentre 3i 07IAB7 90SM0019PH | Intel Pentium Gold G7400 (2C / 4T, 3.7GHz, 6MB) | Integrated Intel UHD Graphics 710 | Intel B660 | 1x 4GB UDIMM DDR4-3200 | 256GB SSD M.2 2280 PCIe 3.0x4 NVMe | WLAN + Bluetooth	11ax, 2x2 + BT5.2 | Windows 11 | Brightness	200 cd/m², Aspect Ratio	16:9, Contrast Ratio 600:1, Connection Type	1 x HDMI 1.4, 1 x VGA","29,995"
Acer Aspire AZ3-700 17.3-in FHD Intel Pentium J3710/4GB/500GB/Windows 10 All in One Desktop,/Product-Detail/Acer_AZ3-700_J3710,"Intel Pentium Processor J3710 (2M Cache, up to 2.64GHz) / 4GB DDR3 SDRAM / 500GB HDD / Integrated Intel HD Graphics / 17.3-inch Full HD 1920 x 1080 Display / Windows 10","29,999"
Huawei MateStation S | PUM-WDH9A | Ryzen 5 4600G | Radeon Graphics | 8GB RAM | 256GB SSD | Win10,/Product-Detail/huawei_matestation-s--pum-wdh9a,PUM-WDH9A | AMD Ryzen 5 4600G | AMD Radeon Graphics | 8GB DDR4 RAM | 256GB M.2 SSD | Windows 10,"30,999"
Acer Aspire Z22-780 Intel Pentium G4560T/4GB/1TB/Windows 10 21.5-inch Multi-touch All in One Desktop,/Product-Detail/Acer_AZ22-780_G4560T,"Intel Pentium Processor G4560T (3M Cache, 2.90 GHz) / 4GB / 1TB / Integrated Intel HD Graphics / 21.5-in LED 1920 x 1080 Multi-touch Display / Windows 10","31,999"
Acer Aspire XC-885 Core i3-8100 4GB|1TB|1GB GT710|21.5-in Monitor|Win10,/Product-Detail/Acer_XC-885_i3-8100,"Intel Core i3-8100 Processor 6M Cache, 3.60 GHz | 4GB DDR4 2666 MHz UDIMM | 1GB NVIDIA GeForce GT 710 | K222HQL 21.5-inch FHD | Windwos 1021.5-in K222HQL","31,999"
Lenovo IdeaCentre 3i 07IAB7 90SM001APH  Core i3-12100/8GB RAM/512GB SSD/UHD Graphics 730/Win11 CPU ONLY,/Product-Detail/lenovo_ideacentre-3i-07iab7-90sm001aph--d22-20-66adkac1ph-215-monitor-core-i3-121008gb,"IdeaCentre 3i 07IAB7 90SM001APH | Intel Core i3-12100, 4C (4P + 0E) / 8T, P-core 3.3 / 4.3GHz, 12MB | Integrated Intel UHD Graphics 730 | Intel B660 | 2x 4GB UDIMM DDR4-3200 | 512GB SSD M.2 2280 PCIe 4.0x4 NVMe | WLAN + Bluetooth	11ax, 2x2 + BT5.2","32,495"
Lenovo IdeaCentre 3i 07IAB7 90SM008EPH w/ L22i-30 21.5inch Monitor |Core i3-12100 |8GB RAM | 256GB SSD |UHD Graphics 730 |WIN11,/Product-Detail/lenovo_ideacentre-3i-07iab7-90sm008eph-w215in-l22i-30-monitor--core-i3-12100--4gb-ram--256gb-ssd--uhd-graphics-730-win11,"Lenovo IdeaCentre 3i 07IAB7 90SM008EPH | 21.5inch L22i-30 Monitor | Intel Core i3-12100, 4C (4P + 0E) / 8T, P-core 3.3 / 4.3GHz, 12MB | 8GB UDIMM DDR4-3200 | 256GB SSD M.2 2280 PCIe 4.0x4 NVMe | Integrated Intel UHD Graphics 730 | Windows 11 Home | Integrated 100/1000M WLAN + Bluetooth 11ax, 2x2 + BT5.1 | L22i-30 21.5inch Monitor","32,995"
INTEL NUC KIT RNUC11PAHI70Z01-99AW86,/Product-Detail/intel_nuc-kit-rnuc11pahi70z01-99aw86-,"Intel Nuc Kit RNUC11PAHI70Z01-99AW86 | Intel Core i7-1165G7 Processor (12M Cache, up to 4.70 GHz) | Max Memory 64GB DDR4-3200 1.2V SO-DIMM | Max Turbo Frequency 4.70 GHz | Graphics Output HDMI 2.0b; USB-C (DP1.4); MiniDP 1.4 | PCI Express Configurations M.2 slot with PCIe X4 lanes | Supported Operating Systems Windows 11, 64-bit, Windows 10, 64-bit","32,999"
"Asus S501MD-0G7400003WS, Intel Pentium G7400, 8GB RAM, 256GB SSD, Win11",/Product-Detail/asus_s501md-0g7400003ws-intel-pentium-g7400-8gb-ram-256gb-ssd-win11-,"ASUS S501MD-0G7400003WS - IntelPentium Gold G7400  3.7GHz (6M Cache, 2 cores) Processor  |  8GB DDR4 Memory  |  256GB M.2 NVMe PCIe 3.0 SSD  |  DVDRW Drive  |  802.11AX WiFi + BT | Win11 with Asus Keyboard & Mouse","34,495"
Acer Aspire GX-281 AMD Ryzen 3 1200/8GB/1TB/2GB GTX 1050/Win10,/Product-Detail/Acer_GX-281_Ryzen_3,AMD Ryzen 3 1200 3.1GHz Proceesor (Max Turbo Core Speed 3.4GHz) / 8GB / 1TB / 2GB NVIDIA GeForce GTX 1050 / Windows 10,"34,999"
Lenovo ThinkCentre M720 Tiny 10T7S05Y00 Intel Core i5-8400T/8GB/1TB Desktop Only,/Product-Detail/lenovo_m720_10t7s05y00,"Intel Core i5-8400T Processor (9M Cache, up to 3.30 GHz) / 8GB / 1TB / Intel Integrated Graphics","36,492"
Asus Pro D540SA-i38100034R Desktop Only PC Core i3-8100 | 4GB | 1TB | Intel HD | Windows 10 Pro,/Product-Detail/asus_d540sa-i38100034r,"Windows 10 Pro | Intel Core i3-8100 Processor 6M Cache, 3.60 GHz | 4GB Up to 32 GB Dual Channel, DDR4 at 2666MHz 2 x DIMM","36,995"
Acer Aspire XC-780 Intel Core i3-7100/4GB/1TB/2GB GT720/Win10 w/ 21.5-in Monitor,/Product-Detail/Acer_XC-780_i3-7100_GT720,"Intel Core i3-7100 Processor (3M Cache, 3.90 GHz) / 4GB / 1TB / NVIDIA GeForce GT 720 with 2 GB of DDR3 (supporting: DVI, HDMI) / 21.5-in KA220HQ Monitor","36,999"
Acer Aspire TC-866 Intel Core i3-9100/4GB/1TB/2GB GT730/Win10 w/ 21.5in K222HQL Monitor,/Product-Detail/acer_TC-866_i3-9100,"Aspire TC-866 i3-9100 / Intel Core i3-9100  / 4GB / 1TB / NVIDIA GeForce  GT 730 with 2 GB  / Windows 10 /  21.5"" K222HQL Monitor","36,999"
Acer Aspire TC-860 Intel Core i3-9100/4GB/1TB/2GB GFGT730/Win10 w/ 21.5-in  K222HQL Monitor,/Product-Detail/acer_tc-860_i3-9100,"Intel Core i3-9100 Processor (6M Cache, up to 4.20 GHz) / 4GB / 1TB / 2GB NVIDIA GeForce GT 730 / 21.5-in K222HQL Monitor","36,999"
"Lenovo IdeaCentre 3i 07IAB7 90SM001APH, Core i3-12100/8GB RAM/512GB SSD/UHD Graphics 730/Win11/21.5",/Product-Detail/lenovo_ideacentre-3i-07iab7-90sm001aph-core-i3-12100,"IdeaCentre 3i 07IAB7 90SM001APH | Intel Core i3-12100, 4C (4P + 0E) / 8T, P-core 3.3 / 4.3GHz, 12MB | Integrated Intel UHD Graphics 730 | Intel B660 | 2x 4GB UDIMM DDR4-3200 | 512GB SSD M.2 2280 PCIe 4.0x4 NVMe | WLAN + Bluetooth	11ax, 2x2 + BT5.2 | 21.5inch Monitor","37,995"
Acer Aspire TC-860 Intel Core i3-8100/4GB/2TB/2GB GT730/Win10 w/ 21.5-in K222HQL Monitor,/Product-Detail/acer_tc-860_i38100_GT730,"Intel Core i3-8100 Processor (6M Cache, 3.60 GHz) / 4GB / 2TB / NVIDIA GeForce GT 730 with 2 GB of DDR3 (supporting: DVI, HDMI) / 21.5-in  K222HQL / Windows 10","37,999"
Acer Aspire TC-1750 | Core i3-12100 | 8GB DDR4 | 256GB SSD + 1TB HDD | GeForce GT 1030 | Win11,/Product-Detail/acer_aspire-tc-1750--core-i3-12100--8gb-ddr4--256gb-ssd--1tb-hdd--geforce-gt-1030--win11,"Intel Core i3-12100 processor, 4 cores 8 Threads, 12MB L3 Cache, 3.3GHz Base 4.3 GHz Max Frequency 60W PBP | 8GB DDR4 3200MHz UDIMM | 256GB M.2 2280 PCI-E SSD + 1TB HDD 3.5-inch 7200 RPM | NVIDIA GeForce GT 1030 with 2 GB of DDR5 | Windows 11","37,999"
Acer Aspire TC-1750 | Core i3-12100 | 8GB DDR4 | 256GB SSD + 1TB HDD | GeForce GT 730 | Win11,/Product-Detail/acer_aspire-tc-1750--core-i3-12100--8gb-ddr4--256gb-ssd--1tb-hdd--geforce-gt-730--win11,"Intel Core i3-12100 processor, 4 cores 8 Threads, 12MB L3 Cache, 3.3GHz Base 4.3 GHz Max Frequency 60W PBP | 8GB DDR4 3200MHz UDIMM | 256GB M.2 2280 PCI-E SSD + 1TB HDD 3.5-inch 7200 RPM | NVIDIA GeForce GT 730 with 2 GB of DDR3 | Windows 11","37,999"
Huawei MateStation S and Display 23.8in AD80 Bundle | PUM-WDH9A | Ryzen 5 4600G | Radeon Graphics | 8GB RAM | 256GB SSD | Win10,/Product-Detail/huawei_matestation-s-and-display-238in-ad80-bundle--pum-wdh9a,PUM-WDH9A | Display 23.8in | AMD Ryzen 5 4600G | AMD Radeon Graphics | 8GB DDR4 RAM | 256GB M.2 SSD | Windows 10,"38,999"
APPLE MAC MINI M2 | 8GB RAM | 256GB SSD | MMFJ3 8-CORE CPU/10-CORE GPU,/Product-Detail/apple_mac-mini-m2--8gb-ram--256gb-ssd--mmfj3-8-core-cpu10-core-gpu-,"Apple Mac Mini M2 | Chip 8 Core CPU, and 10 Core GPU, 16-core Neural Engine | 8GB unified memory | 256GB SSD | Wi-Fi 6E (802.11ax) 2 + Bluetooth 5.3 | MacOS","39,990"
Lenovo IdeaCentre 3i 07IRB8 90VT002KPH | Intel Core i5-13400 | 8GB RAM | 512GB SSD | Intel UHD Graphics 730 | WIN11 CPU ONLY,/Product-Detail/lenovo_ideacentre-3i-07irb8-90vt002kph--intel-core-i5-13400--8gb-ram--512gb-ssd--intel-uhd-graphics-730--win11-cpu-only,"Lenovo	IdeaCentre 3i 07IRB8 90VT002KPH- Intel Core i5-13400, 10C (6P + 4E) / 16T, P-core 2.5 / 4.6GHz, E-core 1.8 / 3.3GHz, 20MB | 8GB DDR 4 (2x 4GB UDIMM DDR4-3200) | 512GB SSD M.2 2280 PCIe 4.0x4 NVMe | Integrated Intel UHD Graphics 730 | Wi-Fi 6, 11ax 2x2 + BT5.1 | Windows 11 Home","40,495"
Dell INSPIRON 3020 Intel Core i3-13100 | 8GB RAM | 256GB SSD | UHD GRAPHICS 730 SHARED | Dell SE2422H Monitor | WIN11 HOME,/Product-Detail/dell_inspiron-3020-intel-core-i3-13100--8gb-ram--256gb-ssd--intel-uhd-graphics-730-shared--win11-home-sl,"DELL INSPIRON 3020 |13th Gen Intel Core i3-13100 processor (4-Core, 12MB Cache, 3.4 GHz to 4.5 GHz)| 8 GB, 1 x 8 GB, DDR4, 3200 MHz | 256GB M.2 PCIe NVMe Solid State Drive | Intel UHD Graphics 730 with shared graphics memory | Realtek Wi-Fi 6 RTL8852BE, 2x2, 802.11ax, MU-MIMO, Bluetooth wireless card | Windows 11 Home With Dell SE2422H Monitor","40,990"
Acer Aspire TC-1770 | Intel Core i3-13100 | 8GB DDR4 RAM | 256GB SSD + 1TB HDD | Intel UHD 730 Graphics | Win11 Home,/Product-Detail/acer_aspire-tc-1770--intel-core-i3-13100--8gb-ddr4-ram--256gb-ssd--1tb-hdd--intel-uhd-730-graphics--win11-home,"Acer Aspire TC-1770 | Intel Core i3-13100 processor (4 Cores 8 Threads 3.4GHz up to 4.5GHz, 12MB Intel Smart Cache) | 8 GB DDR4 3200MHz UDIMM | 256 GB M.2 2280 PCI-E SSD + 1 TB 3.5-inch 7200 RPM | Intel UHD 730 Graphics | Windows 11 Home SL","40,999"
Asus Mini PC PN60-B584ZV (90MS01D1-M01830) VL249HE 23.8-in 75Hz Core i3-8130U/4GB/1TB HDD/Intel UHD/Windows 10 Pro,/Product-Detail/asus_mini-pc-pn60-b584zv-90ms01d1-m01830-vl249he-238-in-75hz-core-i3-8130u4gb1tb-hddintel-uhdwindows-10-pro,"VL249HE 23.8In, IPS 75Hz, Adaptive-Sync / FreeSync LED Monitor/Intel Core i3-8130U Processor 4M Cache, up to 3.40 GHz/4GB DDR4 2400MHz SO-DIMM 2x SO-DIMM slots/1TB 7200RPM 2.5"" HDD/Intel UHD Graphics/Windows 10 Pro","41,390"
Dell Inspiron 3670 Intel Core i3-8100/4GB/128GB+1TB/2GB GeForce GT710/Win10 with Dell 23in S2319H Monitor,/Product-Detail/dell_3670_i3-8100,"8th Generation Intel Core i3-8100 processor (6M Cache, up to 3.6 GHz) / 4GB / 128GB SSD+1TB / NVIDIA GeForce GT 710 2GB DDR3 / Dell 23 Monitor | S2319H 23"" / Windows 10","41,490"
Dell Inspiron 3891 Core i3-10105 | 8GB RAM | 1TB HDD | Intel UHD Graphics | Dell SE2422H 24in FHD | KB and Mouse | Win11,/Product-Detail/dell_inspiron-3891-core-i3-10105,"Dell Inspiron 3891 10th Gen Intel® Core i3-10105 (6 MB cache, 4 cores, 8 threads, 3.70 GHz to 4.40 GHz Turbo) | 1TB HDD | 8 GB, 1 x 8 GB, DDR4 RAM | Windows 11 Home | Microsoft Office Home & Student 2021 | Intel UHD Graphics| with Dell Keyboard and Mouse | Dell SE2422H 24inch FHD Monitor | Intel® Wi-Fi 6 2x2 (Gig+) and Bluetooth","41,990"
Asus Mini PC PB60-B3351ZV (90MS01E1-M03520) VL249HE 23.8-in 75Hz Core i3-8100T/4GB/1TB HDD/Intel UHD/Windows 10 Pro,/Product-Detail/asus_mini-pc-pb60-b3351zv-90ms01e1-m03520-vl249he-238-in-75hz-core-i3-8100t4gb1tb-hddintel-uhdwindows-10-pro,"VL249HE 23.8In, IPS 75Hz, Adaptive-Sync / FreeSync LED Monitor/Intel Core i3-8100T Processor 6M Cache, 3.10 GHz/4GB DDR4 2400MHz SO-DIMM 2x SO-DIMM slots/1TB 7200RPM 2.5"" HDD./Intel UHD Graphics/Windows 10 Pro","42,990"
HP M01-F2015d (Dark Black) Intel Core i5-12400/8GB/512GB SSD/AMD Radeon RX550 2GB Graphics/Win11 CPU Only,/Product-Detail/hp_m01-f2015d-dark-black-intel-core-i5-124008gb512gb-ssdamd-radeon-rx550-2gb-graphicswin11-cpu-only,"Windows 11/Intel Core i5-12400 (2.5 GHz base frequency, up to 4.4 GHz with Intel® Turbo Boost Technology, 18 MB L3 cache, 6 cores, 12 threads)/8 GB DDR4-3200 SDRAM (1 x 8 GB)/512GB PCIe NVMe M.2 SSD/AMD Radeon RX550 (2 GB GDDR5 dedicated) CPU Only","42,990"
"Lenovo IdeaCentre 3i 07IAB7 90SM001BPH, Core i5-12400/8GB RAM/512GB SSD/ Intel UHD Graphics 730/Win11/21.5inch monitor",/Product-Detail/lenovo_ideacentre-3i-07iab7-90sm001bph-core-i5-12400,"Lenovo IdeaCentre 3i 07IAB7 90SM001BPH | Intel Core i5-12400, 6C (6P + 0E) / 12T, P-core 2.5 / 4.4GHz, 18MB | Integrated Intel UHD Graphics 730 | Intel B660 | 2x 4GB UDIMM DDR4-3200 | 512GB SSD M.2 2280 PCIe 4.0x4 NVMe | WLAN + Bluetooth	11ax, 2x2 + BT5.2 | L22i  21.5inch monitor","42,995"
Acer Aspire TC-1650 | DT.BGXSP.002 | Core i3-10105 | 8GB DDR4 | 256Gb SSD + 1TB HDD | GT 730 2GB | Win10,/Product-Detail/acer_aspire-tc-1650--dtbgxsp002--core-i3-10105--8gb-ddr4--256gb-ssd--1tb-hdd--gt-730-2gb--win10,"Intel Core i3-10105 processors | 8GB DDR4 2666 MHz UDIMM | 256Gb M.2 SATA SSD + 1TB 3.5-inch 7200 RPM | NVIDIA GeForce GT 730 with 2 GB of DDR3 (supporting: DVI, HDMI) | Windows 10 | KA222Q Monitor 21.5in 1920x1080 @60Hz","42,999"
HP M01-F2038d (Dark Black) Intel Core i5-12400/8GB/512GB SSD/Win11 CPU Only,/Product-Detail/hp_m01-f2038d-dark-black-intel-core-i5-124008gb512gb-ssdwin11-cpu-only,"Windows 11/Intel Core i5-12400 (2.5 GHz base frequency, up to 4.4 GHz with Intel® Turbo Boost Technology, 18 MB L3 cache, 6 cores, 12 threads)/8 GB DDR4-3200 SDRAM (1 x 8 GB)/512GB PCIe NVMe M.2 SSD/Intel UHD Graphics 630/CPU Only","44,990"
Acer Nitro 50 N50-600 | Core i5-9400 | 16GB DDR4 |  GeForce RTX2060 6GB | Windows 10,/Product-Detail/acer-nitro_50-n50-600--ude0hsp002--core-i5-9400--16gb-ddr4--1tb-ssd--geforce-rtx2060-6gb--windows-10,"UD.E0HSP.002 | Intel Core i5-9400 processor | 16GB B DDR4 2666 MHz UDIMM Up to 64 GB of Dual-channel DDR4 2666 MHz | NVIDIA GeForce RTX2060, 6GB | Windows 10","44,999"
"Asus A3402WBAK-BA031WS, 23.8In FHD, Core i3-1215U, 8GB RAM, 1TB HDD + 256GB SSD, Win11",/Product-Detail/asus_a3402wbak-ba031ws,"Asus A3402WBAK-BA031WS - Intel Core i3-1215U  1.2GHz (10M Cache, up to 4.4 GHz, 6 cores) Processor  |  8GB DDR4 Memory  |  1TB HDD + 256GB SSD | 23.8"" FHD 1920x1080 LED Display  |  Intel UHD Graphics  | 802.11AX WiFi + BT  |  Webcam | Windows 11","45,995"
Lenovo IdeaCentre 3i 07IRB8 90VT002KPH w/Lenovo L22i 21.5in | Core i5-13400 | 8GB RAM | 512GB SSD | UHD Graphics 730 | WIN11,/Product-Detail/lenovo_ideacentre-3i-07irb8-90vt002kph-wlenovo-l22i-30-215in--core-i5-13400--8gb-ram--512gb-ssd--uhd-graphics-730--win11,"Lenovo IdeaCentre 3i 07IRB8 90VT002KPH- Intel Core i5-13400, 10C (6P + 4E) / 16T, P-core 2.5 / 4.6GHz, E-core 1.8 / 3.3GHz, 20MB | 8GB DDR 4 (2x 4GB UDIMM DDR4-3200) | 512GB SSD M.2 2280 PCIe 4.0x4 NVMe | Integrated Intel UHD Graphics 730 | Wi-Fi 6, 11ax 2x2 + BT5.1 | Windows 11 Home","45,995"
Acer Aspire TC-1770 | Intel Core i5-13400 processor | 8GB DDR4 | 256GB SSD + 1TB HDD | Intel UHD 730 Graphics | Win11 Home,/Product-Detail/acer_aspire-tc-1770--intel-core-i5-13400-processor--8gb-ddr4--256gb-ssd--1tb-hdd---intel-uhd-730-graphics--win11-home,"Acer Aspire TC-1770 | Intel Core i5-13400 processor (10 Cores 16 Threads 2.5GHz up to 4.6GHz, 20MB Intel® Smart Cache) | 8 GB DDR4 3200MHz | 256 GB M.2 2280 PCI-E SSD + 1 TB 3.5-inch 7200 RPM | Intel UHD 730 Graphics | Windows 11 Home SL","45,999"
"Asus S501MD-312100001WS, Core i3-12100, 8GB RAM, 1TB HDD + 256GB SSD, Win11",/Product-Detail/asus_s501md-312100001ws-core-i3-12100-8gb-ram-1tb-hdd--256gb-ssd-win11,"Asus S501MD-312100001WS -  Intel Core i3-12100 3.3GHz (12M Cache, up to 4.3 GHz, 4 cores) Processor  |  8GB DDR4 Memory  |  1TB HDD + 256GB M.2 NVMe PCIe 3.0 SSD  | DVDRW 8X  |  Windows 11","46,985"
"Asus S501MD-31210001EWS, Core i3-12100, 8GB RAM, 1TB HDD + 256GB SSD, Intel Graphics, Win11",/Product-Detail/asus_s501md-31210001ews,"S501MD-31210001EWS - Intel Core i3-12100 3.3GHz (12M Cache, up to 4.3 GHz, 4 cores) Processor  |  8GB DDR4 Memory  |  1TB HDD + 256GB SSD  |  Intel Graphics  |  802.11AX WiFi + BT  |  Win11 with Asus Keyboard & Mouse, Asus C221HE 21.5"" FHD Monitor","46,995"
"Acer Nitro N50-640 DG.E2VSP.002 | Core i5-12400 | 8GB DDR4 | 512GB SSD | GeForce GTX1650, 4GB | Win11",/Product-Detail/acer-nitro_n50-640-dge2vsp002--core-i5-12400--8gb-ddr4--512gb-ssd--geforce-gtx1650-4gb--win11-,"Intel Core i5-12400 processor (12MB Smart Cache, 2.5GHz Base Frequency with Max Turbo up to 4.4GHz, 6 Cores 12Threads) | 8GB DDR4 3200MHz UDIMM | 512GB M.2 2280 PCI-E SSD | NVIDIA GeForce GTX1650, GDDR5 4GB | Windows 11","46,999"
"Apple Mac Mini Apple M1 chip with 8 core CPU, 8 core GPU, and 16 core Neural Engine/8GB/512GB SSD",/Product-Detail/apple_mac-mini-apple-m1-chip-with-8-core-cpu-8-core-gpu-and-16-core-neural-engine8gb512gb-ssd,"Apple M1 chip with 8 core CPU, 8 core GPU, and 16 core Neural Engine
    8GB unified memory
    512GB SSD storage
    Gigabit Ethernet","47,990"
HP M01-F2037d (Dark Black) Intel Core i3-12100/8GB/256GB SSD/Win11 with 21.5in Monitor,/Product-Detail/hp_m01-f2037d-dark-black-intel-core-i3-121008gb256gb-ssdwin11-desktop-pc-with-v22i-monitor,"Windows 11/Intel Core i3-12100 (up to 4.3 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 4 cores, 8 threads)/8 GB DDR4-2933 RAM (1 x 8 GB)/256G SSD + 1TB HDD/Intel UHD Graphics 730/with HP Wired Keyboard and Mouse/ with HP V22i G5 FHD Monitor","47,990"
Lenovo ThinkCentre M820z 10SD000EPC 21.5-in FHD Non-touch Intel Core i3-8300/8GB/1TB+16GB Optane/Win10 Pro AIO Desktop,/Product-Detail/lenovo_m820z_10sd000epc,"Intel Core i3-8300 Processor (8M Cache, 3.70 GHz) / 8GB / 1TB + 16GB Optane / Intel Integrated / 21.5-in WVA WLED FHD (1920 x 1080), borderless, antiglare, Non-touch Display  / Win 10 Pro 64 (No Recovery Media)","47,999"
DELL VOSTRO 3020 Intel Core i5-13400 | 8GB RAM | 512GB SSD | INTEL UHD GRAPHICS 730 | WIN11 PRO CPU ONLY,/Product-Detail/dell_vostro-3020-intel-core-i5-13400--8gb-ram--512gb-ssd--intel-uhd-graphics-730--win11-pro-cpu-only,"Dell Vostro 3020- 13th Gen Intel Core i5-13400 (20 MB cache, 10 cores, 16 threads, 2.50 GHz to 4.60 GHz Turbo) | 8 GB, 1 x 8 GB, DDR4, 3200 MHz | 512GB M.2 PCIe NVMe Solid State Drive | Intel UHD Graphics 730 | Intel Wi-Fi 6 AX201, 2x2, 802.11ax, Bluetooth wireless card | Windows 11 Pro","48,990"
